data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
14.00,154.57,8260.74,0.90,3.62,0.18,90.00,HBEFA3/PC_G_EU4,0.00,3.55,4,e0_0,71.21,25.90,route01,9.10,Car,0.00,25.90,-1.60,,,,,,,,,,,,,,,
14.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
14.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
14.00,,,,,,,,,,,,,,,,,,,,e0,83.29,1080.61,66808.45,6.57,28.89,1.52,0.00,28.72,e0_0,33.53,19.32,81.91,0.02,5
14.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
14.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
15.00,319.25,18395.10,1.91,7.96,0.45,90.00,HBEFA3/PC_G_EU4,0.00,7.91,0,e0_0,77.43,228.21,route01,27.48,Car01,0.00,228.21,-1.60,,,,,,,,,,,,,,,
15.00,209.89,13500.55,1.29,5.69,0.31,90.00,HBEFA3/PC_G_EU4,0.00,5.80,1,e0_0,74.82,188.63,route01,25.57,Car,0.00,188.63,-1.60,,,,,,,,,,,,,,,
15.00,360.34,20948.18,2.16,9.23,0.50,90.00,HBEFA3/PC_G_EU4,0.00,9.00,2,e0_0,78.77,135.09,route01,24.70,Car,0.00,135.09,-1.60,,,,,,,,,,,,,,,
15.00,240.34,15198.25,1.47,6.67,0.35,90.00,HBEFA3/PC_G_EU4,0.00,6.53,3,e0_0,75.60,77.90,route01,18.20,Car,0.00,77.90,-1.60,,,,,,,,,,,,,,,
