data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
12.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
12.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
13.00,289.98,17672.67,1.76,7.71,0.42,90.00,HBEFA3/PC_G_EU4,0.00,5636.68,0,gneE0_0,76.83,170.97,route01,23.51,Car01,0.00,170.97,0.00,,,,,,,,,,,,,,,
13.00,132.12,10066.84,0.85,4.21,0.21,90.00,HBEFA3/PC_G_EU4,0.00,3210.82,1,gneE0_0,71.76,108.86,route01,19.55,Car01,0.00,108.86,0.00,,,,,,,,,,,,,,,
13.00,177.71,11383.59,1.09,4.96,0.25,90.00,HBEFA3/PC_G_EU4,0.00,3630.79,2,gneE0_0,72.93,60.87,route01,14.31,Car01,0.00,60.87,0.00,,,,,,,,,,,,,,,
13.00,118.43,5833.54,0.68,2.51,0.12,90.00,HBEFA3/PC_G_EU4,0.00,1860.63,3,gneE0_0,67.38,24.97,route01,7.80,Car01,0.00,24.97,0.00,,,,,,,,,,,,,,,
13.00,151.18,3992.25,0.78,1.78,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1273.38,4,gneE0_0,67.96,7.61,route01,2.51,Car01,0.00,7.61,0.00,,,,,,,,,,,,,,,
13.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
13.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
13.00,,,,,,,,,,,,,,,,,,,,gneE0,594.39,869.42,48948.89,5.15,21.17,1.08,0.00,15612.30,gneE0_0,33.53,13.54,79.76,0.00,5
13.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
13.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
14.00,252.63,15634.06,1.54,6.71,0.37,90.00,HBEFA3/PC_G_EU4,0.00,4986.47,0,gneE0_0,75.80,196.20,route01,25.23,Car01,0.00,196.20,0.00,,,,,,,,,,,,,,,
14.00,298.00,18157.69,1.81,7.97,0.43,90.00,HBEFA3/PC_G_EU4,0.00,5791.37,1,gneE0_0,77.23,130.94,route01,22.08,Car01,0.00,130.94,0.00,,,,,,,,,,,,,,,
14.00,147.86,10378.16,0.93,4.44,0.22,90.00,HBEFA3/PC_G_EU4,0.00,3310.11,2,gneE0_0,71.66,77.03,route01,16.16,Car01,0.00,77.03,0.00,,,,,,,,,,,,,,,
14.00,132.27,7559.69,0.78,3.27,0.15,90.00,HBEFA3/PC_G_EU4,0.00,2411.18,3,gneE0_0,69.52,34.88,route01,9.91,Car01,0.00,34.88,0.00,,,,,,,,,,,,,,,
14.00,122.51,3565.18,0.64,1.54,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1137.16,4,gneE0_0,63.31,11.45,route01,3.83,Car01,0.00,11.45,0.00,,,,,,,,,,,,,,,
14.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
14.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
14.00,,,,,,,,,,,,,,,,,,,,gneE0,521.02,953.26,55294.79,5.69,23.93,1.24,0.00,17636.30,gneE0_0,33.53,15.44,80.67,0.00,5
14.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
14.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
15.00,362.04,20492.55,2.16,8.95,0.50,90.00,HBEFA3/PC_G_EU4,0.00,6536.08,0,gneE0_0,78.47,223.60,route01,27.40,Car01,0.00,223.60,0.00,,,,,,,,,,,,,,,
15.00,309.63,18532.23,1.87,8.10,0.44,90.00,HBEFA3/PC_G_EU4,0.00,5910.83,1,gneE0_0,77.34,155.30,route01,24.35,Car01,0.00,155.30,0.00,,,,,,,,,,,,,,,
15.00,205.67,13535.54,1.27,5.88,0.30,90.00,HBEFA3/PC_G_EU4,0.00,4317.15,2,gneE0_0,74.19,95.42,route01,18.38,Car01,0.00,95.42,0.00,,,,,,,,,,,,,,,
15.00,133.60,8461.95,0.81,3.64,0.17,90.00,HBEFA3/PC_G_EU4,0.00,2698.95,3,gneE0_0,70.14,46.80,route01,11.92,Car01,0.00,46.80,0.00,,,,,,,,,,,,,,,
15.00,133.90,5558.15,0.74,2.43,0.11,90.00,HBEFA3/PC_G_EU4,0.00,1772.80,4,gneE0_0,68.02,17.47,route01,6.02,Car01,0.00,17.47,0.00,,,,,,,,,,,,,,,
15.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
15.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
15.00,,,,,,,,,,,,,,,,,,,,gneE0,456.74,1144.83,66580.42,6.85,28.99,1.53,0.00,21235.81,gneE0_0,33.53,17.62,82.24,0.00,5
